Latitudes,Longitudes
23.5656,87.26962
23.56555,87.26951
23.56548,87.26958
23.56539,87.26971
23.56511,87.27063
23.56486,87.27151
23.56472,87.2718
23.56461,87.27248
23.56451,87.27302
23.56441,87.27316
23.56428,87.27329
23.56414,87.27342
23.56368,87.2731
23.56368,87.2731
23.56414,87.27342
23.56385,87.27395
23.56391,87.274
23.56355,87.27453
23.56318,87.27508
23.56313,87.27505
23.56296,87.27498
23.56276,87.2749
23.56261,87.27484
23.56255,87.27481
23.56232,87.27524
23.5622,87.27554
23.56218,87.27564
23.56221,87.27575
23.56244,87.27594
23.5623,87.27614
23.56226,87.27615
23.56201,87.27605
23.56194,87.27602
23.56183,87.27602
23.56183,87.27606
23.56172,87.27623
23.56156,87.27651
23.56162,87.27656
23.56162,87.27656
23.56208,87.27698
23.5619,87.2772
23.56162,87.27746
23.56179,87.27763
23.56198,87.27796
23.56237,87.27874
23.56246,87.27893
23.56205,87.2792
23.56182,87.27932
23.56089,87.27987
23.56022,87.28028
23.56014,87.28028
23.56003,87.28025
23.55999,87.28025
23.5596,87.28
23.5596,87.28
23.55999,87.28025
23.55993,87.28026
23.55976,87.28037
23.55963,87.28054
23.55951,87.2808
23.5594,87.28097
23.5592,87.28115
23.55894,87.28146
23.55881,87.28156
23.55856,87.28169
23.55851,87.28173
23.55846,87.28181
23.55831,87.28247
23.55831,87.28266
23.55828,87.28289
23.55827,87.28296
23.55822,87.28292
23.55796,87.28273
23.55782,87.28284
23.55763,87.28315
23.55755,87.28345
23.55755,87.28345
23.55742,87.28391
23.55738,87.28399
23.55721,87.28427
23.55706,87.28452
23.55709,87.28457
23.55655,87.2849
23.55556,87.28543
23.55609,87.2865
23.55581,87.28665
23.55566,87.28676
23.5555,87.2869
23.55549,87.28693
23.55549,87.28693
23.55541,87.28706
23.55535,87.28725
23.55535,87.28793
23.55536,87.28815
23.55533,87.29024
23.55532,87.2904
