Latitudes,Longitudes
23.5656,87.26962
23.56555,87.26951
23.56548,87.26958
23.56539,87.26971
23.56511,87.27063
23.56486,87.27151
23.56472,87.2718
23.56461,87.27248
23.56451,87.27302
23.56441,87.27316
23.56428,87.27329
23.56414,87.27342
23.56368,87.2731
23.56368,87.2731
23.56414,87.27342
23.56385,87.27395
23.56391,87.274
23.56355,87.27453
23.56318,87.27508
23.56313,87.27505
23.56296,87.27498
23.56276,87.2749
23.56261,87.27484
23.56255,87.27481
23.56232,87.27524
23.5622,87.27554
23.56218,87.27564
23.56221,87.27575
23.56244,87.27594
23.5623,87.27614
23.56226,87.27615
23.56201,87.27605
23.56194,87.27602
23.56183,87.27602
23.56183,87.27606
23.56172,87.27623
23.56156,87.27651
23.56162,87.27656
23.56162,87.27656
23.56208,87.27698
23.5619,87.2772
23.56162,87.27746
23.56179,87.27763
23.56198,87.27796
23.56237,87.27874
23.56246,87.27893
23.56205,87.2792
23.56182,87.27932
23.56089,87.27987
23.56022,87.28028
23.56014,87.28028
23.56003,87.28025
23.55999,87.28025
23.5596,87.28
23.5596,87.28
23.55999,87.28025
23.56003,87.28025
23.56014,87.28028
23.56022,87.28028
23.56089,87.27987
23.56116,87.28033
23.56168,87.28002
23.56168,87.28002
23.56038,87.2808
23.56061,87.28124
23.5603,87.2814
23.56026,87.28153
23.56023,87.2819
23.56027,87.28197
23.56026,87.28199
23.56027,87.28203
23.56031,87.28207
23.56047,87.28216
23.56043,87.28229
23.56038,87.28239
23.56026,87.2826
23.56019,87.28271
23.56016,87.28277
23.56012,87.2829
23.55998,87.28301
23.55951,87.28327
23.55951,87.28327
23.55871,87.28373
23.55906,87.28464
23.55913,87.28461
23.55923,87.28462
23.55928,87.2847
23.55929,87.28475
23.55924,87.28483
23.55917,87.28488
23.55908,87.2849
23.55903,87.2849
23.55876,87.28499
23.55862,87.28506
23.55855,87.28508
23.55836,87.28524
23.55798,87.28546
23.55735,87.28582
23.55745,87.28621
23.55759,87.2869
23.55759,87.2869
23.55745,87.28621
23.55735,87.28582
23.55631,87.28639
23.55591,87.28659
23.55573,87.2867
23.55558,87.28682
23.55545,87.28699
23.55538,87.28714
23.55535,87.28725
23.55534,87.28766
23.55536,87.28811
23.55534,87.28869
23.55532,87.29032
23.55532,87.2904
